ID,Module,Title,Description,Preconditions,Steps,Expected Result,Priority,Type
TC026,Cart,Empty cart message,Verify empty-cart state,Cart contains no items,"1. Navigate to /view_cart","Page shows 'Cart is empty!' message",Medium,UI
TC027,Cart,Add same product twice merges quantity,Verify duplicate adds increment qty,On a product detail page,"1. Set quantity to 1 and Add to cart
2. Continue Shopping
3. Add the same product again
4. View Cart","Cart shows the product once with quantity 2",Medium,Functional
TC028,Checkout,Proceed to checkout requires login,Verify checkout flow gates unauthenticated users,Cart has at least one item; not logged in,"1. On Cart page click Proceed To Checkout","Modal prompts to Register / Login before continuing to checkout",High,Functional
TC029,Checkout,Checkout shows address and review,Verify address and order review appear,User logged in with items in cart,"1. Open Cart
2. Click Proceed To Checkout","Address Details and Review Your Order sections are visible with delivery/billing address and product summary",High,Functional
TC030,Checkout,Place order with valid card,Verify the order is placed and confirmation shown,On Checkout page,"1. Add a comment in the message box
2. Click Place Order
3. Enter Name on Card valid card number CVC expiry MM and YYYY
4. Click 'Pay and Confirm Order'","'Order Placed!' confirmation page is displayed",High,Functional
TC031,Checkout,Place order with empty card details,Verify card form validates required fields,On Payment page,"1. Click 'Pay and Confirm Order' without filling card fields","Form does not submit; required field validation prevents payment",High,Negative
TC032,Contact,Submit contact form successfully,Verify Contact Us submission with file upload,On Contact Us page,"1. Fill Name Email Subject Message
2. Attach any small file via 'Choose File'
3. Click Submit and accept browser confirm","Success banner 'Success! Your details have been submitted successfully.' appears",Medium,Functional
TC033,Contact,Contact form requires fields,Verify validation of required fields,On Contact Us page,"1. Leave fields blank
2. Click Submit","Browser validation blocks submission",Medium,Negative
TC034,TestCases,Test Cases page renders list,Verify Test Cases informational page loads,Home page loaded,"1. Click 'Test Cases' in nav","Test Cases heading and an enumerated list of test cases are visible",Low,UI
TC035,APITesting,API List page renders,Verify API Testing reference page loads,Home page loaded,"1. Click 'API Testing' in nav","'APIs List for practice' page is shown with API endpoints",Low,UI
TC036,UI,Responsive layout on mobile viewport,Verify the site adapts to mobile width,Browser at 375x812,"1. Resize viewport to 375x812
2. Navigate to home","Layout reflows; no horizontal scrollbar; main content visible",Medium,UI
TC037,UI,No broken images on home,Verify all images load on the home page,Home page loaded,"1. Inspect all img elements for naturalWidth > 0","No broken images (every image has naturalWidth > 0)",Medium,UI
TC038,Security,XSS in product search is sanitized,Verify reflected XSS is not executed,Home page loaded,"1. Submit '<img src=x onerror=alert(1)>' in product search","No JS dialog fires and no injected <img onerror> element appears in the DOM",High,Negative
TC039,Security,SQL injection attempt in login is rejected,Verify auth resists trivial SQLi payloads,On Signup/Login page,"1. Enter '' OR 1=1 -- in email and password
2. Click Login","Login is rejected with the normal 'email or password is incorrect' message and no SQL error is exposed",High,Negative
TC040,Boundary,Signup with very long name,Verify input length is handled,On Signup/Login page,"1. Enter a 300-character name and a unique email
2. Click Signup","Either the form rejects the input gracefully or accepts it without breaking the layout",Low,Boundary

